team,team_id,year,conference,games_played,expected_wins,wins,losses,home_wins,home_losses,away_wins,away_losses
Middle Tennessee,2393,2017,Conference USA,13,7.2,7,6,4,2,2,4
Minnesota,135,2017,Big Ten,12,4.9,5,7,4,3,1,4
Mississippi State,344,2017,SEC,13,9.5,9,4,5,2,3,2
Missouri,142,2017,SEC,13,7.5,7,6,4,3,3,2
Navy,2426,2017,American Athletic,13,6.1,7,6,5,1,2,4
NC State,152,2017,ACC,13,9.5,9,4,5,1,3,2
Nebraska,158,2017,Big Ten,12,3.4,4,8,2,5,2,3
Nevada,2440,2017,Mountain West,12,4.5,3,9,3,3,0,6
New Mexico,167,2017,Mountain West,12,4.7,3,9,2,4,1,5
New Mexico State,166,2017,Sun Belt,13,6.5,7,6,3,2,3,4
North Carolina,153,2017,ACC,12,4.1,3,9,1,6,2,3
Northern Illinois,2459,2017,Mid-American,13,8.0,8,5,5,1,3,3
North Texas,249,2017,Conference USA,14,7.7,9,5,6,0,3,4
Northwestern,77,2017,Big Ten,13,8.5,10,3,6,1,3,2
Notre Dame,87,2017,FBS Independents,13,9.2,10,3,6,1,3,2
Ohio,195,2017,Mid-American,13,10.0,9,4,5,1,3,3
Ohio State,194,2017,Big Ten,14,11.5,12,2,6,1,4,1
Oklahoma,201,2017,Big 12,14,12.4,12,2,5,1,5,0
Oklahoma State,197,2017,Big 12,13,11.1,10,3,3,3,6,0
Old Dominion,295,2017,Conference USA,12,5.3,5,7,3,3,2,4
Ole Miss,145,2017,SEC,12,5.6,6,6,4,3,2,3
Oregon,2483,2017,Pac-12,13,7.4,7,6,6,1,1,4
Oregon State,204,2017,Pac-12,12,1.9,1,11,1,5,0,6
Penn State,213,2017,Big Ten,13,10.5,11,2,7,0,3,2
Pittsburgh,221,2017,ACC,12,6.0,5,7,4,3,1,4
Purdue,2509,2017,Big Ten,13,7.4,7,6,4,2,2,3
Rice,242,2017,Conference USA,12,1.5,1,11,0,5,1,5
Rutgers,164,2017,Big Ten,12,3.1,4,8,2,4,1,4
San Diego State,21,2017,Mountain West,13,9.1,10,3,5,2,5,0
San José State,23,2017,Mountain West,13,2.0,2,11,2,4,0,7
SMU,2567,2017,American Athletic,13,6.7,7,6,6,1,1,4
South Alabama,6,2017,Sun Belt,12,3.6,4,8,2,3,1,5
South Carolina,2579,2017,SEC,13,7.7,9,4,5,2,2,2
Southern Mississippi,2572,2017,Conference USA,13,6.9,8,5,3,3,5,1
South Florida,58,2017,American Athletic,12,10.1,10,2,5,1,4,1
Stanford,24,2017,Pac-12,14,7.9,9,5,6,0,2,3
Syracuse,183,2017,ACC,12,5.1,4,8,4,3,0,5
TCU,2628,2017,Big 12,14,10.6,11,3,6,0,4,2
Temple,218,2017,American Athletic,13,7.1,7,6,3,3,3,3
Tennessee,2633,2017,SEC,12,3.4,4,8,3,4,0,4
Texas,251,2017,Big 12,13,7.5,7,6,3,3,3,2
Texas A&M,245,2017,SEC,13,6.5,7,6,4,3,2,2
Texas State,326,2017,Sun Belt,12,2.3,2,10,1,5,1,5
Texas Tech,2641,2017,Big 12,13,5.3,6,7,2,4,3,2
Toledo,2649,2017,Mid-American,14,9.8,11,3,6,0,4,2
Troy,2653,2017,Sun Belt,13,9.3,11,2,5,1,5,1
Tulane,2655,2017,American Athletic,12,4.6,5,7,4,2,1,5
Tulsa,202,2017,American Athletic,12,3.6,2,10,2,4,0,6
UAB,5,2017,Conference USA,13,8.1,8,5,6,0,2,4
UCF,2116,2017,American Athletic,13,11.1,13,0,7,0,5,0
UCLA,26,2017,Pac-12,13,6.4,6,7,6,0,0,6
UMass,113,2017,FBS Independents,12,4.7,4,8,2,3,1,5
UNLV,2439,2017,Mountain West,12,4.8,5,7,2,4,3,3
USC,30,2017,Pac-12,14,9.4,11,3,7,0,3,2
Utah,254,2017,Pac-12,13,7.4,7,6,4,3,2,3
Utah State,328,2017,Mountain West,13,7.4,6,7,3,3,3,3
UTEP,2638,2017,Conference USA,12,0.9,0,12,0,5,0,7
UT San Antonio,2636,2017,Conference USA,11,6.3,6,5,3,2,3,3
Vanderbilt,238,2017,SEC,12,5.1,5,7,3,4,2,3
Virginia,258,2017,ACC,13,5.8,6,7,4,3,2,4
Virginia Tech,259,2017,ACC,13,8.9,9,4,5,1,3,2
Wake Forest,154,2017,ACC,13,7.8,8,5,4,2,3,3
Washington,264,2017,Pac-12,13,10.1,10,3,7,0,3,2
Washington State,265,2017,Pac-12,13,8.0,9,4,7,0,2,3
Western Kentucky,98,2017,Conference USA,13,4.8,6,7,4,2,2,4
Western Michigan,2711,2017,Mid-American,12,6.3,6,6,4,2,2,4
West Virginia,277,2017,Big 12,13,5.9,7,6,4,2,3,2
Wisconsin,275,2017,Big Ten,14,13.0,13,1,7,0,6,0
Wyoming,2751,2017,Mountain West,13,6.6,8,5,5,2,2,3
Air Force,2005,2018,Mountain West,12,6.4,5,7,4,2,1,5
Akron,2006,2018,Mid-American,12,2.9,4,8,2,3,2,5
Alabama,333,2018,SEC,15,13.5,14,1,7,0,4,0
Appalachian State,2026,2018,Sun Belt,13,10.9,11,2,6,0,4,2
Arizona,12,2018,Pac-12,12,6.4,5,7,4,3,1,4
Arizona State,9,2018,Pac-12,13,5.6,7,6,5,1,2,4
Arkansas,8,2018,SEC,12,3.2,2,10,2,5,0,4
Arkansas State,2032,2018,Sun Belt,13,8.7,8,5,5,1,3,3
Army,349,2018,FBS Independents,13,9.6,11,2,6,0,2,2
Auburn,2,2018,SEC,13,8.6,8,5,5,2,1,3
Ball State,2050,2018,Mid-American,12,3.9,4,8,3,3,1,5
Baylor,239,2018,Big 12,13,6.9,7,6,4,2,1,4
Boise State,68,2018,Mountain West,13,8.8,10,3,5,2,5,1
Boston College,103,2018,ACC,12,7.5,7,5,5,2,2,3
