team,year,conference,elo,fpi,conference_rating
New Mexico,2007,Mountain West,1521.0,2.321,0.5555555555555556
New Mexico State,2007,Western Athletic,1035.0,-15.708,-8.833333333333334
North Carolina,2007,ACC,1392.0,-0.928,6.025
Northern Illinois,2007,Mid-American,1161.0,-15.106,-13.684615384615384
North Texas,2007,Sun Belt,916.0,-22.41,-18.2375
Northwestern,2007,Big Ten,1354.0,-4.046,9.5
Notre Dame,2007,FBS Independents,1423.0,-5.234,-17.6
Ohio,2007,Mid-American,1308.0,-10.41,-13.684615384615384
Ohio State,2007,Big Ten,1991.0,19.137,9.5
Oklahoma,2007,Big 12,2059.0,24.102,13.133333333333333
Oklahoma State,2007,Big 12,1677.0,11.16,13.133333333333333
Ole Miss,2007,SEC,1362.0,-2.482,15.366666666666667
Oregon,2007,Pac-10,1890.0,19.833,11.61
Oregon State,2007,Pac-10,1668.0,9.919,11.61
Penn State,2007,Big Ten,1829.0,14.174,9.5
Pittsburgh,2007,Big East,1559.0,1.324,11.525
Purdue,2007,Big Ten,1614.0,7.444,9.5
Rice,2007,Conference USA,1203.0,-14.113,-8.066666666666666
Rutgers,2007,Big East,1700.0,8.961,11.525
San Diego State,2007,Mountain West,1245.0,-6.994,0.5555555555555556
San José State,2007,Western Athletic,1238.0,-9.851,-8.833333333333334
SMU,2007,Conference USA,1208.0,-14.304,-8.066666666666666
South Carolina,2007,SEC,1645.0,10.048,15.366666666666667
Southern Mississippi,2007,Conference USA,1524.0,-0.897,-8.066666666666666
South Florida,2007,Big East,1770.0,13.329,11.525
Stanford,2007,Pac-10,1324.0,-1.526,11.61
Syracuse,2007,Big East,1204.0,-11.599,11.525
TCU,2007,Mountain West,1741.0,6.031,0.5555555555555556
Temple,2007,Mid-American,1085.0,-16.248,-13.684615384615384
Tennessee,2007,SEC,1777.0,12.291,15.366666666666667
Texas,2007,Big 12,1914.0,16.005,13.133333333333333
Texas A&M,2007,Big 12,1662.0,8.933,13.133333333333333
Texas Tech,2007,Big 12,1773.0,13.935,13.133333333333333
Toledo,2007,Mid-American,1306.0,-12.116,-13.684615384615384
Troy,2007,Sun Belt,1575.0,3.304,-18.2375
Tulane,2007,Conference USA,1214.0,-13.715,-8.066666666666666
Tulsa,2007,Conference USA,1720.0,1.37,-8.066666666666666
UAB,2007,Conference USA,1066.0,-17.154,-8.066666666666666
UCF,2007,Conference USA,1601.0,2.902,-8.066666666666666
UCLA,2007,Pac-10,1604.0,10.528,11.61
UNLV,2007,Mountain West,1214.0,-9.542,0.5555555555555556
USC,2007,Pac-10,2037.0,22.908,11.61
Utah,2007,Mountain West,1759.0,9.457,0.5555555555555556
Utah State,2007,Western Athletic,1086.0,-14.791,-8.833333333333334
UTEP,2007,Conference USA,1249.0,-10.514,-8.066666666666666
Vanderbilt,2007,SEC,1459.0,2.983,15.366666666666667
Virginia,2007,ACC,1706.0,7.918,6.025
Virginia Tech,2007,ACC,1906.0,16.348,6.025
Wake Forest,2007,ACC,1684.0,6.506,6.025
Washington,2007,Pac-10,1537.0,5.352,11.61
Washington State,2007,Pac-10,1395.0,2.444,11.61
Western Michigan,2007,Mid-American,1354.0,-6.351,-13.684615384615384
West Virginia,2007,Big East,2083.0,21.026,11.525
Wisconsin,2007,Big Ten,1796.0,10.155,9.5
Wyoming,2007,Mountain West,1292.0,-4.968,0.5555555555555556
Air Force,2008,Mountain West,1558.0,-0.147,-0.13333333333333333
Akron,2008,Mid-American,1290.0,-6.393,-7.007692307692308
Alabama,2008,SEC,1952.0,17.609,10.825
Arizona,2008,Pac-10,1845.0,14.782,7.18
Arizona State,2008,Pac-10,1578.0,5.781,7.18
Arkansas,2008,SEC,1504.0,0.948,10.825
Arkansas State,2008,Sun Belt,1286.0,-5.922,-14.25
Army,2008,FBS Independents,1193.0,-13.834,-9.775
Auburn,2008,SEC,1564.0,4.746,10.825
Ball State,2008,Mid-American,1545.0,5.57,-7.007692307692308
Baylor,2008,Big 12,1471.0,1.948,14.383333333333333
Boise State,2008,Western Athletic,1970.0,14.869,-9.188888888888888
Boston College,2008,ACC,1629.0,7.288,7.4
Bowling Green,2008,Mid-American,1482.0,-1.464,-7.007692307692308
Buffalo,2008,Mid-American,1459.0,-3.123,-7.007692307692308
BYU,2008,Mountain West,1723.0,9.809,-0.13333333333333333
California,2008,Pac-10,1853.0,14.58,7.18
Central Michigan,2008,Mid-American,1406.0,-4.317,-7.007692307692308
Cincinnati,2008,Big East,1634.0,6.258,2.6875
Clemson,2008,ACC,1717.0,11.46,7.4
Colorado,2008,Big 12,1390.0,-1.106,14.383333333333333
Colorado State,2008,Mountain West,1377.0,-6.371,-0.13333333333333333
Connecticut,2008,Big East,1588.0,7.184,2.6875
Duke,2008,ACC,1346.0,-0.33,7.4
East Carolina,2008,Conference USA,1544.0,1.177,-4.141666666666667
Eastern Michigan,2008,Mid-American,1108.0,-14.713,-7.007692307692308
