year,team,sor,sos,team_fixed
2014,Ball State,105,123,Ball State
2014,UT San Antonio,106,91,UT San Antonio
2014,Akron,107,120,Akron
2014,Buffalo,108,128,Buffalo
2014,New Mexico,109,94,New Mexico
2014,Southern Mississippi,110,75,Southern Mississippi
2014,Hawai'i,111,85,Hawai'i
2014,San José State,112,74,San José State
2014,Florida International,113,112,Florida International
2014,Army,114,116,Army
2014,Florida Atlantic,115,88,Florida Atlantic
2014,North Texas,116,119,North Texas
2014,Tulsa,117,69,Tulsa
2014,SMU,118,60,SMU
2014,Troy,119,111,Troy
2014,UMass,120,118,UMass
2014,Kent State,121,103,Kent State
2014,Connecticut,122,84,Connecticut
2014,Eastern Michigan,123,93,Eastern Michigan
2014,UNLV,124,79,UNLV
2014,Miami (OH),125,97,Miami (OH)
2014,New Mexico State,126,124,New Mexico State
2014,Georgia State,127,98,Georgia State
2014,Idaho,128,121,Idaho
2015,Alabama,1,1,Alabama
2015,Clemson,2,17,Clemson
2015,Oklahoma,3,26,Oklahoma
2015,Ohio State,4,57,Ohio State
2015,Stanford,5,13,Stanford
2015,Michigan State,6,36,Michigan State
2015,TCU,7,42,TCU
2015,Ole Miss,8,23,Ole Miss
2015,LSU,9,3,LSU
2015,Notre Dame,10,16,Notre Dame
2015,Iowa,11,59,Iowa
2015,Oklahoma State,12,38,Oklahoma State
2015,Houston,13,94,Houston
2015,Florida,14,18,Florida
2015,Utah,15,29,Utah
2015,Georgia,16,44,Georgia
2015,Northwestern,17,41,Northwestern
2015,Mississippi State,18,12,Mississippi State
2015,Baylor,19,60,Baylor
2015,North Carolina,20,53,North Carolina
2015,Oregon,21,22,Oregon
2015,Michigan,22,49,Michigan
2015,Navy,23,81,Navy
2015,Florida State,24,52,Florida State
2015,Arkansas,25,7,Arkansas
2015,Tennessee,26,32,Tennessee
2015,Wisconsin,27,66,Wisconsin
2015,Western Kentucky,28,95,Western Kentucky
2015,Washington State,29,50,Washington State
2015,Toledo,30,87,Toledo
2015,California,31,11,California
2015,Texas A&M,32,27,Texas A&M
2015,USC,33,2,USC
2015,Auburn,34,5,Auburn
2015,BYU,35,65,BYU
2015,West Virginia,36,46,West Virginia
2015,Miami,37,30,Miami
2015,Texas Tech,38,25,Texas Tech
2015,UCLA,39,33,UCLA
2015,Memphis,40,67,Memphis
2015,Appalachian State,41,128,Appalachian State
2015,Louisville,42,35,Louisville
2015,Pittsburgh,43,28,Pittsburgh
2015,Temple,44,78,Temple
2015,Washington,45,24,Washington
2015,San Diego State,46,121,San Diego State
2015,Bowling Green,47,82,Bowling Green
2015,Texas,48,9,Texas
2015,Georgia Southern,49,104,Georgia Southern
2015,Arizona,50,61,Arizona
2015,Arizona State,51,21,Arizona State
2015,Marshall,52,127,Marshall
2015,Virginia Tech,53,43,Virginia Tech
2015,Penn State,54,56,Penn State
2015,Western Michigan,55,75,Western Michigan
2015,Duke,56,68,Duke
2015,Louisiana Tech,57,110,Louisiana Tech
2015,Boise State,58,98,Boise State
2015,Kansas State,59,34,Kansas State
2015,Arkansas State,60,114,Arkansas State
2015,South Florida,61,72,South Florida
2015,NC State,62,63,NC State
2015,Southern Mississippi,63,101,Southern Mississippi
2015,Minnesota,64,47,Minnesota
2015,Missouri,65,31,Missouri
2015,Indiana,66,54,Indiana
2015,Nebraska,67,45,Nebraska
2015,Cincinnati,68,69,Cincinnati
2015,Vanderbilt,69,8,Vanderbilt
2015,Illinois,70,48,Illinois
2015,Air Force,71,86,Air Force
2015,Kentucky,72,51,Kentucky
2015,Northern Illinois,73,88,Northern Illinois
2015,Akron,74,116,Akron
2015,Virginia,75,15,Virginia
2015,Ohio,76,112,Ohio
2015,Central Michigan,77,85,Central Michigan
2015,Middle Tennessee,78,91,Middle Tennessee
2015,Iowa State,79,4,Iowa State
2015,Syracuse,80,39,Syracuse
2015,South Carolina,81,14,South Carolina
